ts_s,pid,tid,futex_key_addr,futex_key_word,futex_key_offset,total_requests,successful_count
2025-08-27 14:08:53.667145,13253,16579,18446619754767492736,124874093789184,2180,12,12
2025-08-27 14:08:53.667145,13019,13493,18446619757348945920,22147072,2016,11,11
2025-08-27 14:08:53.667145,13019,13019,18446619757348945920,22155264,224,125,125
2025-08-27 14:08:53.667145,13253,13683,18446619754767492736,124874161393664,4052,1,1
2025-08-27 14:08:53.667145,13120,13756,18446619757348965632,131772469637120,3200,5,5
2025-08-27 14:08:53.667145,13253,16535,18446619754767492736,124874161373184,3168,1,1
2025-08-27 14:08:53.667145,13116,16575,18446619754767482880,137590537728000,716,7,7
2025-08-27 14:08:53.667145,13019,13524,18446619757348945920,22155264,224,139,139
2025-08-27 14:08:53.667145,12972,12972,18446619755031287808,135707903348736,2276,2,2
2025-08-27 14:08:53.667145,13095,13670,18446619754767485696,27942912,3040,64,64
2025-08-27 14:08:53.667145,13253,16579,18446619754767492736,124874161270784,2560,3,3
2025-08-27 14:08:53.667145,13120,16577,18446619757348965632,131772471996416,2928,5,5
2025-08-27 14:08:53.667145,13253,16578,18446619754767492736,124874161233920,1428,3,3
2025-08-27 14:08:53.667145,13253,13684,18446619754767492736,124874093789184,2176,15,15
2025-08-27 14:08:53.667145,13019,13495,18446619757348945920,22155264,224,78,78
2025-08-27 14:08:53.667145,13095,13666,18446619754767485696,824638144512,3912,55,55
2025-08-27 14:08:53.667145,13253,16579,18446619754767492736,124874161020928,1968,2,2
2025-08-27 14:08:53.667145,13120,16577,18446619757348965632,131772469637120,3440,5,5
2025-08-27 14:08:53.667145,13019,13495,18446619757348945920,22151168,4088,11,11
2025-08-27 14:08:53.667145,13253,16538,18446619754767492736,124874161262592,3124,1,1
2025-08-27 14:08:53.667145,13019,13019,18446619757348945920,824634138624,1096,86,86
2025-08-27 14:08:53.667145,13253,16579,18446619754767492736,124874161242112,736,1,1
2025-08-27 14:08:53.667145,13253,16541,18446619754767492736,124874161262592,3120,1,1
2025-08-27 14:08:53.667145,13120,16577,18446619757348965632,131772469637120,3632,2,2
2025-08-27 14:08:53.667145,13095,13664,18446619754767485696,824638144512,3912,8,8
2025-08-27 14:08:53.667145,838,15375,18446619754133548544,110455243796480,984,4,4
2025-08-27 14:08:53.667145,13095,13671,18446619754767485696,824635965440,2120,35,35
2025-08-27 14:08:53.667145,13253,16537,18446619754767492736,124874161242112,740,1,1
2025-08-27 14:08:53.667145,13120,13753,18446619757348965632,131772475293696,1856,1,1
2025-08-27 14:08:53.667145,13120,16577,18446619757348965632,131772469637120,3968,1,1
2025-08-27 14:08:53.667145,13120,16577,18446619757348965632,131772543197184,1716,24,24
2025-08-27 14:08:53.667145,12972,12972,18446619755031287808,135707930460160,4024,3,3
2025-08-27 14:08:53.667145,13095,13666,18446619754767485696,824635965440,2120,82,82
2025-08-27 14:08:53.667145,13253,16535,18446619754767492736,124874429988864,2128,10,10
2025-08-27 14:08:53.667145,13253,16579,18446619754767492736,124874161254400,3600,1,1
2025-08-27 14:08:53.667145,13253,16535,18446619754767492736,124874161254400,3684,1,1
2025-08-27 14:08:53.667145,13120,16577,18446619757348965632,131772471996416,3648,2,2
2025-08-27 14:08:53.667145,13095,13664,18446619754767485696,824638144512,2120,12,12
2025-08-27 14:08:53.667145,13019,13019,18446619757348945920,22151168,4088,9,9
2025-08-27 14:08:53.667145,13253,16540,18446619754767492736,124874429988864,2132,1,1
2025-08-27 14:08:53.667145,13253,16537,18446619754767492736,124874161270784,2564,1,1
2025-08-27 14:08:53.667145,13253,16578,18446619754767492736,124874161242112,736,1,1
2025-08-27 14:08:53.667145,838,15305,18446619754133548544,824649203712,1096,88,88
2025-08-27 14:08:53.667145,13019,13495,18446619757348945920,22155264,248,1,1
2025-08-27 14:08:53.667145,12720,13144,18446619755031292032,17137664,3104,74,74
2025-08-27 14:08:53.667145,13253,16579,18446619754767492736,124874093789184,2096,5,5
2025-08-27 14:08:53.667145,13253,16540,18446619754767492736,124874161020928,1972,1,1
2025-08-27 14:08:53.667145,13019,13495,18446619757348945920,824634138624,1096,34,34
2025-08-27 14:08:53.667145,13253,16545,18446619754767492736,124874161278976,2004,2,2
2025-08-27 14:08:53.667145,13019,13524,18446619757348945920,824634138624,2888,56,56
2025-08-27 14:08:53.667145,838,15375,18446619754133548544,824649195520,328,84,84
2025-08-27 14:08:53.667145,12972,12972,18446619755031287808,135707867942912,2340,18,18
2025-08-27 14:08:53.667145,13253,16578,18446619754767492736,124874161233920,1424,1,1
2025-08-27 14:08:53.667145,13449,13449,18446619754767504000,97244008833024,2360,7,7
