ts_s,pid,tid,futex_key_addr,futex_key_word,futex_key_offset,total_requests,total_time,hist0,hist1,hist2,hist3,hist4,hist5,hist6,hist7
2025-08-27 14:07:08.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:07:08.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:09.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:07:09.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:10.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:07:10.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:11.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:07:11.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:12.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:07:12.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:13.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:07:13.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:14.667145,13019,13019,18446619757348945920,22155264,248,1,133648,0,0,0,1,0,0,0,0
2025-08-27 14:07:14.667145,13019,13019,18446619757348945920,22155264,208,1,3620,0,1,0,0,0,0,0,0
2025-08-27 14:07:14.667145,13019,13019,18446619757348945920,22147072,2016,1,468063342,0,0,0,0,1,0,0,0
2025-08-27 14:07:14.667145,13019,13672,18446619757348945920,824634138624,2888,2,997865630,0,0,0,1,0,0,0,1
2025-08-27 14:07:14.667145,13019,13493,18446619757348945920,22155264,224,1,989840066,0,0,0,0,0,0,0,1
2025-08-27 14:07:15.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:07:15.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:15.667145,13019,13019,18446619757348945920,22147072,2016,,1000000000,,,,,,,,
2025-08-27 14:07:16.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:07:16.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:16.667145,13019,13019,18446619757348945920,22147072,2016,,1000000000,,,,,,,,
2025-08-27 14:07:17.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:07:17.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
